PROVINCIA,COMUNE,TIPOLOGIA,STELLE,DENOMINAZIONE,INDIRIZZO,NUMERO CIVICO,CAP
BELLUNO,AURONZO DI CADORE,RIFUGIO,,AURONZO,Località Forcella Longères,,32041
BELLUNO,AURONZO DI CADORE,RIFUGIO,,CITTÀ DI CARPI,Località Forcella Maraia,,32041
BELLUNO,AURONZO DI CADORE,RIFUGIO,,FRATELLI FONDA SAVIO,Località Passo dei Tóci,,32041
BELLUNO,AURONZO DI CADORE,RIFUGIO,,GIOSUE' CARDUCCI,Località Alta Val Giralba,,32041
BELLUNO,AURONZO DI CADORE,RIFUGIO,,GUIDO LORENZI,Località Forcella Stounies,,32041
BELLUNO,AURONZO DI CADORE,RIFUGIO,,MAGGIORE ANGELO BOSI,Località Monte Piana,32,32041
BELLUNO,AURONZO DI CADORE,RIFUGIO,,MONTE AGUDO,Località Monte Agudo,,32041
BELLUNO,ALPAGO,ALBERGO,2,ALPAGO,Viale Alpago,29,32015
BELLUNO,BELLUNO,AFFITTACAMERE,,AFFITTACAMERE CHECCO ZAINO,via Col de Gou,752,32100
BELLUNO,BELLUNO,AFFITTACAMERE,,AL BORGO,via Anconetta,18,32100
BELLUNO,BELLUNO,AFFITTACAMERE,,LA TIEDA,Via Madeago,26,32100
BELLUNO,BELLUNO,AFFITTACAMERE,,LOCANDA NOGHERAZZA,Via Gresane,78 - Castion,32100
BELLUNO,BELLUNO,AGRITURISMO,,AL BACHERO,Via Meassa,96/a,32100
BELLUNO,BELLUNO,AGRITURISMO,,AZ. AGRITURISTICA ALLE SOGLIE DEL PARCO di Casagrande Vally,"VIA DEI PASCOLI, 9",,32100
BELLUNO,BELLUNO,AGRITURISMO,,BELVEDERE,Via Vena d'oro,100,32100
BELLUNO,BELLUNO,AGRITURISMO,,COSTE DI VENA D'ORO DI COLLE PAOLO,VIA VENA D'ORO,40,32100
BELLUNO,BELLUNO,AGRITURISMO,,LA CASA DEI BERTOLDI,COSTA DI CASTION,,32024
BELLUNO,BELLUNO,AGRITURISMO,,LA VIGNA D'ORO DI DALLA BERNARDINA LUCA,Via U. Bolzano,7/a,32100
BELLUNO,BELLUNO,AGRITURISMO,,MIARI FULCIS ANDREA,Via Landrei loc. Mont,18,32100
BELLUNO,BELLUNO,AGRITURISMO,,MIARI FULCIS FULCIO,MODOLO,,32100
BELLUNO,BELLUNO,AGRITURISMO,,SANT'ANNA DI CATANI STEFANO,"via Pedecastello,25 - CASTION",,32100
BELLUNO,BELLUNO,ALBERGO,3,AL PONTE DELLA VITTORIA,Via Monte Grappa,1,32100
BELLUNO,BELLUNO,ALBERGO,3,CAPPELLO E CADORE,Via Ricci,8,32100
BELLUNO,BELLUNO,ALBERGO,3,DELLE ALPI,Via Tasso,13,32100
BELLUNO,BELLUNO,ALBERGO,4,HOTEL ASTOR,Piazza dei Martiri,26/E,32100
BELLUNO,BELLUNO,ALBERGO,4,HOTEL EUROPA EXECUTIVE,Via Vittorio Veneto,158/O,
